Studiengang,Hochschule,Abschluss,Studienform,Studienort,Studientyp,url
3D Animation for Film and Games,Technische Hochschule Köln,Master,"Berufsbegleitend, Internationaler Studiengang",Köln,weiterführend,https://www.hochschulkompass.de/studium/studiengangsuche/erweiterte-studiengangsuche/detail/all/search/1/studtyp/3/view/wide.html?tx_szhrksearch_pi1%5Bresults_at_a_time%5D=10
3D-Drucken,"Hochschule Mittweida, University of Applied Sciences",Bachelor of Science,Vollzeitstudium,Mittweida,grundständig,https://www.hochschulkompass.de/studium/studiengangsuche/erweiterte-studiengangsuche/detail/all/search/1/studtyp/3/pn/1/view/wide.html?tx_szhrksearch_pi1%5Bresults_at_a_time%5D=10
4D-Moderne Energiesysteme und Mobilität,Hochschule für angewandte Wissenschaften München,Master,"Berufsbegleitend, Teilzeitstudium",München,weiterführend,https://www.hochschulkompass.de/studium/studiengangsuche/erweiterte-studiengangsuche/detail/all/search/1/studtyp/3/pn/2/view/wide.html?tx_szhrksearch_pi1%5Bresults_at_a_time%5D=10
Abenteuer- und Erlebnispädagogik,Philipps-Universität Marburg,Master of Arts,Vollzeitstudium,Marburg,weiterführend,https://www.hochschulkompass.de/studium/studiengangsuche/erweiterte-studiengangsuche/detail/all/search/1/studtyp/3/pn/3/view/wide.html?tx_szhrksearch_pi1%5Bresults_at_a_time%5D=10
Abfallwirtschaft und Altlasten,Technische Universität Dresden,Master of Science,"Teilzeitstudium, Vollzeitstudium",Dresden,weiterführend,https://www.hochschulkompass.de/studium/studiengangsuche/erweiterte-studiengangsuche/detail/all/search/1/studtyp/3/pn/4/view/wide.html?tx_szhrksearch_pi1%5Bresults_at_a_time%5D=10
Accessoire Design,"Hochschule Pforzheim - Gestaltung, Technik, Wirtschaft und Recht",Bachelor,Vollzeitstudium,Pforzheim,grundständig,https://www.hochschulkompass.de/studium/studiengangsuche/erweiterte-studiengangsuche/detail/all/search/1/studtyp/3/pn/5/view/wide.html?tx_szhrksearch_pi1%5Bresults_at_a_time%5D=10
Accounting and Auditing,Westfälische Wilhelms-Universität Münster,Master,Vollzeitstudium,Münster,weiterführend,https://www.hochschulkompass.de/studium/studiengangsuche/erweiterte-studiengangsuche/detail/all/search/1/studtyp/3/pn/6/view/wide.html?tx_szhrksearch_pi1%5Bresults_at_a_time%5D=10
Accounting and Controlling,Hochschule für Wirtschaft und Recht Berlin,Master of Arts,"Internationaler Studiengang, Vollzeitstudium",Berlin,weiterführend,https://www.hochschulkompass.de/studium/studiengangsuche/erweiterte-studiengangsuche/detail/all/search/1/studtyp/3/pn/7/view/wide.html?tx_szhrksearch_pi1%5Bresults_at_a_time%5D=10
Accounting and Controlling,"Hochschule Wismar - University of Applied Sciences: Technology, Business and Design",Bachelor,"Berufsbegleitend, Fernstudium",Wismar,grundständig,https://www.hochschulkompass.de/studium/studiengangsuche/erweiterte-studiengangsuche/detail/all/search/1/studtyp/3/pn/8/view/wide.html?tx_szhrksearch_pi1%5Bresults_at_a_time%5D=10
Accounting and Finance,Frankfurt University of Applied Sciences,Master,Vollzeitstudium,Frankfurt am Main,weiterführend,https://www.hochschulkompass.de/studium/studiengangsuche/erweiterte-studiengangsuche/detail/all/search/1/studtyp/3/pn/9/view/wide.html?tx_szhrksearch_pi1%5Bresults_at_a_time%5D=10
